date,lift_id,lift_name,sets,reps,weight,notes,flag,source
2026-01-18,row,Row,3,10,155.0,try 160,,2025-11
2026-01-21,back_squat,Back Squat,3,5,205.0,go 215,,2025-11
2026-01-21,hanging_leg_raise,Hanging Leg Raise,3,8,0.0,hanging. alternate hanging and on forearms,,2025-11
2026-01-21,leg_press,Leg Press,3,15,180.0,"trial, go up. arches at bar height. feel glutes at bottom.",,2025-11
2026-01-21,rdl,Romanian Deadlift,3,8,185.0,,,2025-11
2026-01-22,db_flat_bench,DB Flat Bench,3,12,60.0,stay,,2025-11
2026-01-22,dips,Dips,3,12,0.0,fine,,2025-11
2026-01-22,face_pull,Face Pull,3,15,35.0,"maybe better here than heavier? pretty easy go up, squeeze shoulder blades to protect clavicle",,2025-11
2026-01-22,incline_db_curl,Incline DB Curl,3,10,30.0,"stay, feet up",,2025-11
2026-01-22,straight_arm_pulldown,Straight Arm Pulldown,3,15,50.0,"go up, control throughout",,2025-11
2026-01-22,triceps_pushdown,Triceps Pushdown,3,12,40.0,up reps,,2025-11
2026-01-22,weighted_pull_ups,Weighted Pull-Ups,1,3,0.0,warmup ladder,,2025-11
2026-01-22,weighted_pull_ups,Weighted Pull-Ups,1,3,10.0,warmup ladder,,2025-11
2026-01-22,weighted_pull_ups,Weighted Pull-Ups,1,3,15.0,warmup ladder,,2025-11
2026-01-22,weighted_pull_ups,Weighted Pull-Ups,1,3,20.0,warmup ladder,,2025-11
2026-01-22,weighted_pull_ups,Weighted Pull-Ups,1,3,25.0,warmup ladder,,2025-11
2026-01-24,cable_rotation,Cable Rotation,2,12,30.0,,,2025-11
2026-01-24,calf_raise,Calf Raise,3,15,70.0,"stay, work on control",,2025-11
2026-01-24,hip_abduction,Hip Abduction,3,15,85.0,hard,,2025-11
2026-01-24,hip_adduction,Hip Adduction,3,15,85.0,,,2025-11
2026-01-24,hip_thrust,Hip Thrust,3,12,215.0,"on 12"" box. go 225",,2025-11
2026-01-24,trap_bar_deadlift,Trap Bar Deadlift,3,5,300.0,go 310,,2025-11
2026-01-26,barbell_bench_press,Barbell Bench Press,3,5,180.0,try 6 if feeling strong,,2025-11
2026-01-26,db_incline_press,Dumbbell Incline Press,3,10,55.0,,,2025-11
2026-01-26,db_incline_press,Dumbbell Incline Press,3,8,60.0,,,2025-11
2026-01-26,hammer_curl,Hammer Curl,2,12,30.0,so hard not too bad v hard,,2025-11
2026-01-26,overhead_triceps_extension,Overhead Triceps Extension,3,15,37.5,good hard,,2025-11
2026-01-26,pallof_press,Pallof Press,3,12,35.0,try 40 brace core,,2025-11
2026-01-26,rear_delt_fly,Rear Delt Fly,3,18,10.0,plenty hard. control.,,2025-11
2026-01-26,row,Row,3,10,160.0,go 165,,2025-11
2026-01-27,back_squat,Back Squat,3,5,215.0,"fine, go 225. keep it narrower, feet barely out, brace and sit back",,2025-11
2026-01-27,bulgarian_split_squat,Bulgarian Split Squat,2,10,30.0,go x11,,2025-11
2026-01-27,calf_raise,Calf Raise,3,20,0.0,"fine, up",,2025-11
2026-01-27,hanging_leg_raise,Hanging Leg Raise,3,8,0.0,hanging. alternate hanging and on forearms squeeze scaps,,2025-11
2026-01-27,rdl,Romanian Deadlift,3,8,190.0,,,2025-11
2026-01-30,cable_rotation,Cable Rotation,3,12,35.0,stay,,2025-11
2026-01-30,calf_raise,Calf Raise,3,12,80.0,go x14,,2025-11
2026-01-30,db_flat_bench,DB Flat Bench,3,12,60.0,stay nope: 12 12 9,,2025-11
2026-01-30,dips,Dips,3,15,0.0,nope: 15 15 13,,2025-11
2026-01-30,glute_kickback,Glute Kickback,3,12,110.0,go 120,,2025-11
2026-01-30,hip_abduction,Hip Abduction,3,18,85.0,,,2025-11
2026-01-30,hip_adduction,Hip Adduction,3,18,85.0,,,2025-11
2026-01-30,hip_thrust,Hip Thrust,3,10,225.0,go 235. inhale exhale brace,,2025-11
2026-01-30,incline_db_curl,Incline DB Curl,3,10,30.0,"stay, feet up nope: 10 10 9",,2025-11
2026-01-30,straight_arm_pulldown,Straight Arm Pulldown,3,15,50.0,"go up, control throughout v hard.  control tension, squeeze scaps",,2025-11
2026-01-30,trap_bar_deadlift,Trap Bar Deadlift,3,5,295.0,going a little easy for right trap tinge and poor sleep,,2025-11
2026-01-30,triceps_pushdown,Triceps Pushdown,3,12,40.0,up reps ok,,2025-11
2026-01-30,weighted_pull_ups,Weighted Pull-Ups,3,7,0.0,nope: 776,,2025-11
2026-01-31,barbell_bench_press,Barbell Bench Press,3,5,180.0,,,2025-11
2026-01-31,db_incline_press,Dumbbell Incline Press,3,8,60.0,feet up push thru body,,2025-11
2026-01-31,lateral_raise,Lateral Raise,3,18,12.0,,,2025-11
2026-01-31,overhead_triceps_extension,Overhead Triceps Extension,3,15,37.5,good hard up either,,2025-11
2026-01-31,pallof_press,Pallof Press,2,12,40.0,,,2025-11
2026-02-02,back_squat,Back Squat,3,5,225.0,"15""+25# box good. go 235 if feeling good",,2025-11
2026-02-02,calf_raise,Calf Raise,3,8,0.0,single leg go 10,,2025-11
2026-02-02,hanging_leg_raise,Hanging Leg Raise,3,10,0.0,some clicking even squeezing scaps,,2025-11
2026-02-02,leg_press,Leg Press,3,12,270.0,"don't chase depth, 45deg. go x15",,2025-11
2026-02-02,rdl,Romanian Deadlift,3,8,195.0,go up. keep knees back,,2025-11
2026-02-03,db_flat_bench,DB Flat Bench,3,12,60.0,nope 12 12 11,,2025-11
2026-02-03,dips,Dips,3,8,25.0,,weight_drop:95→25,2025-11
2026-02-03,face_pull,Face Pull,3,12,40.0,"feels good with scap squeeze. scaps down, everything else up",,2025-11
2026-02-03,straight_arm_pulldown,Straight Arm Pulldown,3,15,50.0,"go up, control throughout v hard.  control tension, squeeze scaps go up",,2025-11
2026-02-03,weighted_pull_ups,Weighted Pull-Ups,3,7,0.0,hard,,2025-11
2026-02-05,cable_rotation,Cable Rotation,3,12,35.0,stay,,2025-11
2026-02-05,hip_thrust,Hip Thrust,3,10,235.0,,,2025-11
2026-02-05,seated_hamstring_curl,Seated Hamstring Curl,3,12,105.0,"feet: 3, back: 1.5 good. go 110",,2025-11
2026-02-05,trap_bar_deadlift,Trap Bar Deadlift,1,5,335.0,5rm test: 335. prob had more,,2025-11
2026-02-06,barbell_bench_press,Barbell Bench Press,3,6,180.0,ok. try 185,,2025-11
2026-02-06,db_incline_press,Dumbbell Incline Press,3,10,60.0,go 12. lots available thru feet,,2025-11
